Timestamp,Source MAC,Destination MAC,Threat Status
Detect Delay,Log Delay
2025-05-03 22:57:54,C8:4D:44:21:61:B5,D8:3A:DD:9C:D8:7E,THREAT,0ms,0ms
2025-05-03 22:57:54,D8:3A:DD:9C:D8:7E,C8:4D:44:21:61:B5,THREAT,0ms,1ms
2025-05-03 22:57:54,C8:4D:44:21:61:B5,D8:3A:DD:9C:D8:7E,SAFE,0ms,3ms
2025-05-03 22:57:54,D8:3A:DD:9C:D8:7E,C8:4D:44:21:61:B5,SAFE,0ms,6ms
2025-05-03 22:57:54,C8:4D:44:21:61:B5,D8:3A:DD:9C:D8:7E,SAFE,0ms,8ms
2025-05-03 22:57:54,D8:3A:DD:9C:D8:7E,C8:4D:44:21:61:B5,SAFE,0ms,10ms
2025-05-03 22:57:54,C8:4D:44:21:61:B5,D8:3A:DD:9C:D8:7E,THREAT,0ms,13ms
2025-05-03 22:57:54,D8:3A:DD:9C:D8:7E,C8:4D:44:21:61:B5,THREAT,0ms,15ms
2025-05-03 22:57:54,C8:4D:44:21:61:B5,D8:3A:DD:9C:D8:7E,THREAT,0ms,17ms
2025-05-03 22:57:54,D8:3A:DD:9C:D8:7E,C8:4D:44:21:61:B5,THREAT,0ms,19ms
2025-05-03 22:57:54,C8:4D:44:21:61:B5,D8:3A:DD:9C:D8:7E,SAFE,0ms,21ms
2025-05-03 22:57:54,D8:3A:DD:9C:D8:7E,C8:4D:44:21:61:B5,SAFE,0ms,24ms
2025-05-03 22:57:54,C8:4D:44:21:61:B5,D8:3A:DD:9C:D8:7E,THREAT,0ms,26ms
2025-05-03 22:57:54,D8:3A:DD:9C:D8:7E,C8:4D:44:21:61:B5,THREAT,0ms,31ms
2025-05-03 22:57:54,C8:4D:44:21:61:B5,D8:3A:DD:9C:D8:7E,THREAT,0ms,33ms
2025-05-03 22:57:54,D8:3A:DD:9C:D8:7E,C8:4D:44:21:61:B5,THREAT,0ms,35ms
2025-05-03 22:57:54,C8:4D:44:21:61:B5,D8:3A:DD:9C:D8:7E,THREAT,0ms,37ms
2025-05-03 22:57:54,D8:3A:DD:9C:D8:7E,C8:4D:44:21:61:B5,THREAT,0ms,39ms
2025-05-03 22:57:54,C8:4D:44:21:61:B5,D8:3A:DD:9C:D8:7E,THREAT,0ms,42ms
2025-05-03 22:57:54,D8:3A:DD:9C:D8:7E,C8:4D:44:21:61:B5,THREAT,0ms,44ms
